epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11405,1.56183,4.7322,1.47422,0.00049,0.1375,0.00051,0.00035,1.25489,4.5097,1.3874,6.25e-05,6.25e-05,6.25e-05
2,9.27396,1.46298,4.43247,1.42561,0.00092,0.25417,0.01172,0.00641,1.05436,4.43358,1.20343,0.000136139,0.000136139,0.000136139
3,11.2711,1.39972,4.27955,1.34287,0.00167,0.44167,0.12629,0.08227,1.05114,4.24792,1.11828,0.000208293,0.000208293,0.000208293
4,13.3539,1.33696,3.90799,1.27059,0.00229,0.57917,0.12776,0.07755,1.07638,4.18958,1.12,0.000278961,0.000278961,0.000278961
5,15.344,1.35892,3.30881,1.19493,0.00273,0.7,0.12528,0.07236,0.95467,4.06748,1.05885,0.000348145,0.000348145,0.000348145
6,17.0476,1.42228,3.39983,1.30758,0.0031,0.775,0.22681,0.14069,1.00959,3.84165,1.05462,0.000415844,0.000415844,0.000415844
7,19.1194,1.23843,3.06076,1.17458,0.77705,0.25,0.41114,0.29183,1.03074,3.64163,1.04621,0.000482057,0.000482057,0.000482057
8,21.3365,1.24504,2.80716,1.23808,0.00393,0.9,0.45076,0.31867,1.01338,3.62462,1.07595,0.000546786,0.000546786,0.000546786
9,22.9711,1.24882,2.87304,1.22568,0.0042,0.925,0.48836,0.35971,0.96177,3.5607,1.06806,0.00061003,0.00061003,0.00061003
10,24.3987,1.42522,2.60661,1.34505,0.33393,0.65833,0.54892,0.434,0.90866,3.41345,0.9896,0.000671789,0.000671789,0.000671789
11,25.7419,1.47085,3.12626,1.3589,1,0.0854,0.52205,0.39783,0.87512,3.37304,0.96081,0.000732063,0.000732063,0.000732063
12,26.9518,1.16015,2.32191,1.15568,1,0.09724,0.47289,0.35226,0.85037,3.37341,0.94689,0.000790851,0.000790851,0.000790851
13,28.1427,1.04021,2.35192,1.16589,0.92533,0.13986,0.44715,0.31935,0.9014,3.34588,0.97018,0.000848155,0.000848155,0.000848155
14,29.1915,0.96512,2.34037,1.12825,0.96419,0.21342,0.51324,0.36279,1.06525,3.34587,1.03929,0.000903974,0.000903974,0.000903974
15,30.2772,1.07896,2.41104,1.11748,0.96419,0.21342,0.51324,0.36279,1.06525,3.34587,1.03929,0.000958307,0.000958307,0.000958307
16,31.6111,1.02365,2.08466,1.12346,1,0.22025,0.57685,0.42587,1.07217,3.25628,1.03958,0.00101116,0.00101116,0.00101116
17,32.9191,1.08834,2.20941,1.11891,0.90175,0.39484,0.61055,0.47537,0.86868,2.9923,0.98034,0.001052,0.001052,0.001052
18,34.0196,1.02469,2.04423,1.12259,0.86489,0.42025,0.61214,0.48028,0.88042,2.92354,0.98804,0.00103962,0.00103962,0.00103962
19,35.0642,1.00835,2.00546,1.11736,0.86489,0.42025,0.61214,0.48028,0.88042,2.92354,0.98804,0.00102725,0.00102725,0.00102725
20,36.214,1.10025,2.0828,1.10223,0.85896,0.53834,0.65524,0.49119,0.92322,2.74873,0.99087,0.00101488,0.00101488,0.00101488
21,38.4488,1.16568,1.86212,1.23725,0.76425,0.59222,0.6808,0.48323,0.93173,2.4741,1.01607,0.0010025,0.0010025,0.0010025
22,40.1827,1.03237,1.63407,1.11901,0.73567,0.71549,0.81567,0.59634,0.88732,2.24381,1.02767,0.000990125,0.000990125,0.000990125
23,42.6975,0.97702,1.77226,1.0963,0.73567,0.71549,0.81567,0.59634,0.88732,2.24381,1.02767,0.00097775,0.00097775,0.00097775
24,44.4958,0.97353,1.65262,1.1005,0.7786,0.87763,0.94396,0.69252,0.88705,1.93225,1.05357,0.000965375,0.000965375,0.000965375
25,46.3127,1.12657,1.84776,1.14978,0.80284,0.84905,0.9521,0.71028,0.88264,1.88716,1.0678,0.000953,0.000953,0.000953
26,48.0883,1.03037,1.70458,1.09611,0.87273,0.74633,0.90775,0.70473,0.83939,1.8437,1.07688,0.000940625,0.000940625,0.000940625
27,49.6887,1.01925,1.89798,1.15951,0.87273,0.74633,0.90775,0.70473,0.83939,1.8437,1.07688,0.00092825,0.00092825,0.00092825
28,51.5212,1.12734,2.3006,1.30432,0.88696,0.84637,0.92331,0.73461,0.72664,1.68881,0.97859,0.000915875,0.000915875,0.000915875
29,53.8039,0.95818,1.57809,1.03111,0.92099,0.90465,0.95335,0.79022,0.68998,1.63296,0.95979,0.0009035,0.0009035,0.0009035
30,55.6456,1.04945,1.65963,1.15831,0.92353,0.84082,0.94194,0.76382,0.70694,1.60024,0.98475,0.000891125,0.000891125,0.000891125
31,57.2976,0.9101,1.70943,1.10231,0.92353,0.84082,0.94194,0.76382,0.70694,1.60024,0.98475,0.00087875,0.00087875,0.00087875
32,59.1688,0.92268,1.50593,1.05692,0.8612,0.91019,0.92754,0.7594,0.69471,1.54309,0.98021,0.000866375,0.000866375,0.000866375
33,61.0546,0.91125,1.51037,1.13272,0.82246,0.92666,0.91906,0.75874,0.67426,1.50162,0.96549,0.000854,0.000854,0.000854
