epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02731,1.51126,3.82802,1.36811,0.00357,0.8375,0.15179,0.01974,3.19319,5.39757,3.00215,0.000409226,0.000409226,0.000409226
2,13.3715,1.29616,2.72296,1.23937,1,0.19292,0.40825,0.07649,2.84787,4.40802,3.56699,0.000817717,0.000817717,0.000817717
3,18.5104,1.21364,2.22769,1.24632,0.97455,0.39099,0.53582,0.08767,3.31728,3.44988,5.33067,0.00121796,0.00121796,0.00121796
4,23.3974,1.2367,2.08885,1.2753,0.82277,0.3,0.34244,0.03954,3.47054,4.76871,5.15462,0.00121287,0.00121287,0.00121287
5,28.44,1.1884,1.86016,1.23454,0.55068,0.42472,0.41941,0.0685,3.59621,3.40319,5.70255,0.0012005,0.0012005,0.0012005
6,33.3632,1.11515,1.6428,1.18068,0.71827,0.35852,0.33965,0.04857,3.33321,4.02849,4.3631,0.00118812,0.00118812,0.00118812
7,38.3944,1.08645,1.54969,1.19657,0.64869,0.725,0.64853,0.1019,3.40476,3.18028,5.18605,0.00117575,0.00117575,0.00117575
8,43.3323,1.06391,1.43994,1.16536,0.63474,0.725,0.66285,0.10146,3.46149,2.57394,5.17438,0.00116337,0.00116337,0.00116337
9,48.2254,1.01997,1.27943,1.14524,0.68676,0.61881,0.57485,0.06195,3.52803,2.1394,5.23806,0.001151,0.001151,0.001151
10,53.1539,1.01507,1.17814,1.15944,0.86468,0.60389,0.5767,0.06913,3.66578,2.05851,5.87421,0.00113863,0.00113863,0.00113863
11,58.1397,1.00836,1.19289,1.14922,0.67525,0.725,0.73021,0.1007,3.5593,2.02987,5.38036,0.00112625,0.00112625,0.00112625
12,63.4129,0.97046,1.11221,1.1145,0.78716,0.7875,0.75031,0.10506,3.5072,1.82578,5.59631,0.00111388,0.00111388,0.00111388
13,68.5696,0.96264,1.06044,1.10322,0.84298,0.775,0.8101,0.12496,3.54582,2.22637,5.858,0.0011015,0.0011015,0.0011015
14,73.5389,0.93306,0.97542,1.09491,0.67027,0.65,0.67375,0.08432,3.54896,1.76926,5.65342,0.00108913,0.00108913,0.00108913
15,78.4799,0.91068,0.96289,1.10187,0.79085,0.775,0.75669,0.10183,3.56306,1.80055,5.33178,0.00107675,0.00107675,0.00107675
16,83.4709,0.86041,0.87649,1.08268,0.64376,0.65,0.50707,0.06544,3.61915,1.80329,5.35547,0.00106437,0.00106437,0.00106437
17,88.3942,0.86901,0.90012,1.06567,0.80607,0.8375,0.78125,0.09304,3.58373,1.98525,5.79535,0.001052,0.001052,0.001052
18,93.2728,0.85078,0.84086,1.08016,0.65731,0.59839,0.59894,0.07244,3.7003,1.74559,5.82307,0.00103962,0.00103962,0.00103962
19,98.2709,0.86431,0.85636,1.07217,0.61183,0.6,0.50829,0.05295,3.77033,2.26656,5.92147,0.00102725,0.00102725,0.00102725
20,103.133,0.83143,0.78305,1.06245,0.94662,0.77609,0.8075,0.09553,3.59671,1.55315,5.82934,0.00101488,0.00101488,0.00101488
21,108.163,0.80915,0.77656,1.0359,0.66788,0.7625,0.67833,0.07085,3.63619,1.79787,6.22609,0.0010025,0.0010025,0.0010025
22,113.038,0.78624,0.74731,1.03757,0.87797,0.8375,0.82594,0.09131,3.61928,1.77112,6.29926,0.000990125,0.000990125,0.000990125
23,118.016,0.75525,0.73462,1.01676,0.73381,0.775,0.69818,0.10388,3.54017,1.55635,5.64073,0.00097775,0.00097775,0.00097775
24,123.03,0.76833,0.71187,1.0378,0.79473,0.825,0.74813,0.09036,3.5643,1.76944,5.79512,0.000965375,0.000965375,0.000965375
25,128,0.75736,0.71379,1.02,0.72842,0.7375,0.64187,0.07344,3.62095,1.74782,5.7373,0.000953,0.000953,0.000953
26,132.821,0.77334,0.67217,1.02599,0.7754,0.71732,0.66348,0.08189,3.57624,1.59979,5.34243,0.000940625,0.000940625,0.000940625
27,137.856,0.75498,0.71107,1.02433,0.7326,0.725,0.70088,0.07393,3.62853,1.62982,5.55795,0.00092825,0.00092825,0.00092825
28,142.902,0.72863,0.66342,1.00042,0.76552,0.775,0.68281,0.07864,3.6136,1.66789,5.54416,0.000915875,0.000915875,0.000915875
29,147.89,0.71059,0.66387,0.9972,0.8484,0.8375,0.8201,0.09174,3.61846,1.75457,6.37235,0.0009035,0.0009035,0.0009035
30,152.74,0.7163,0.64842,1.00426,0.85338,0.88581,0.82125,0.08762,3.60431,1.8737,5.99935,0.000891125,0.000891125,0.000891125
31,157.763,0.7446,0.62441,1.00572,0.82799,0.83296,0.77989,0.08894,3.5812,1.60649,5.78424,0.00087875,0.00087875,0.00087875
32,162.595,0.67345,0.58735,0.97342,0.72566,0.7125,0.66063,0.06759,3.63018,1.68492,6.0182,0.000866375,0.000866375,0.000866375
33,167.552,0.67282,0.57545,0.98733,0.74826,0.7625,0.65969,0.07687,3.58227,1.62057,5.90484,0.000854,0.000854,0.000854
34,172.5,0.65453,0.57215,0.96785,0.84529,0.8875,0.82125,0.09319,3.53519,1.63004,5.89962,0.000841625,0.000841625,0.000841625
