epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.28381,2.51069,4.99373,2.28374,0.00066,0.1625,0.01946,0.00882,2.71777,6.31544,2.6818,0.000325,0.000325,0.000325
2,7.45146,1.93147,4.08322,1.78216,0.00117,0.35,0.13181,0.03575,2.08371,5.4028,2.20118,0.000655941,0.000655941,0.000655941
3,9.54165,1.86442,3.87012,1.82234,0.00053,0.1875,0.136,0.06739,2.20446,6.15653,2.49482,0.0009802,0.0009802,0.0009802
4,11.5998,1.79882,3.55167,1.79308,0.25606,0.34898,0.1354,0.05954,2.2956,4.63249,2.35105,0.00121287,0.00121287,0.00121287
5,13.6409,1.82609,3.48927,1.8221,0.26356,0.175,0.21908,0.09359,2.16375,4.80492,2.36254,0.0012005,0.0012005,0.0012005
6,15.6642,1.9363,3.31729,1.8368,0.98319,0.0625,0.15762,0.07342,2.30646,4.76263,2.30684,0.00118812,0.00118812,0.00118812
7,17.7281,1.83555,3.23059,1.78358,0.77198,0.3,0.29279,0.14304,2.31931,4.19083,2.50577,0.00117575,0.00117575,0.00117575
8,19.7674,1.76776,2.95659,1.76605,0.8184,0.23101,0.26603,0.11973,2.55143,4.19289,2.82643,0.00116337,0.00116337,0.00116337
9,21.8911,1.68361,2.71973,1.69383,0.27813,0.28846,0.28258,0.11847,2.70944,4.50107,2.88056,0.001151,0.001151,0.001151
10,23.9161,1.70848,2.72317,1.69641,0.99645,0.25,0.26566,0.14379,2.50191,4.71197,2.54477,0.00113863,0.00113863,0.00113863
11,25.9802,1.7142,2.56752,1.70737,0.74603,0.25,0.29305,0.14991,2.52348,4.5152,2.49444,0.00112625,0.00112625,0.00112625
12,28.0112,1.63525,2.42005,1.65447,0.55968,0.45,0.42124,0.21193,2.30693,4.97214,2.35035,0.00111388,0.00111388,0.00111388
13,30.0781,1.51622,2.36621,1.59084,0.43481,0.34661,0.35159,0.16617,2.52002,4.57574,2.42598,0.0011015,0.0011015,0.0011015
14,32.1521,1.55115,2.32423,1.62004,0.38335,0.51711,0.40504,0.19712,2.43795,4.23005,2.55422,0.00108913,0.00108913,0.00108913
15,34.2552,1.62393,2.44613,1.63307,0.68916,0.39102,0.41419,0.1847,2.44622,3.54029,2.4848,0.00107675,0.00107675,0.00107675
16,36.3129,1.57417,2.19767,1.57065,0.36749,0.45,0.44833,0.22443,2.0863,3.27106,2.08597,0.00106437,0.00106437,0.00106437
17,38.3812,1.45225,1.92687,1.55829,0.44414,0.5125,0.48481,0.18989,2.29919,3.35097,2.34763,0.001052,0.001052,0.001052
18,40.402,1.40866,1.97353,1.48183,0.67031,0.45906,0.56626,0.236,2.48748,2.98648,2.57324,0.00103962,0.00103962,0.00103962
