epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1227,3.00647,5.38368,2.60311,0.00044,0.1125,0.00031,6e-05,3.12648,6.19218,3.18613,0.0001625,0.0001625,0.0001625
2,13.7258,2.37906,4.58864,2.10962,0.00018,0.05,0.00034,3e-05,2.78035,5.867,2.88126,0.000332727,0.000332727,0.000332727
3,18.036,2.19056,4.15824,1.96897,0.00136,0.2375,0.00226,0.00043,2.47612,5.49549,2.56251,0.000498004,0.000498004,0.000498004
4,21.3065,2.10165,3.80899,1.97856,0.00151,0.4625,0.2005,0.09325,2.32838,5.34119,2.4888,0.00065833,0.00065833,0.00065833
5,24.2835,2.03971,3.67014,1.88361,0.00179,0.3875,0.02417,0.00446,2.21522,5.3137,2.35503,0.000813707,0.000813707,0.000813707
6,27.2055,2.13628,3.60609,2.03134,0.0019,0.55,0.03279,0.00849,2.40698,5.24838,2.44531,0.000964134,0.000964134,0.000964134
7,32.3767,2.07239,3.32837,1.92765,0.37739,0.06608,0.15072,0.06782,2.3548,4.87213,2.53708,0.00110961,0.00110961,0.00110961
8,37.0349,2.08069,3.29897,1.93309,0.56283,0.20392,0.27706,0.10632,2.50484,4.45172,2.66505,0.00112625,0.00112625,0.00112625
9,42.0809,2.13882,3.18639,1.99633,0.18271,0.2875,0.21577,0.07005,2.60456,4.52448,2.70079,0.00110857,0.00110857,0.00110857
10,47.0686,2.08438,3.09404,1.96036,0.63743,0.25,0.19002,0.0855,2.23637,4.23893,2.50965,0.00109089,0.00109089,0.00109089
11,52.692,2.02802,3.02815,1.91239,0.18412,0.3,0.23948,0.12268,2.34813,3.92029,2.7113,0.00107321,0.00107321,0.00107321
12,57.4334,2.03732,2.95166,1.90848,0.38592,0.13919,0.21126,0.09791,2.33111,4.13452,2.46442,0.00105554,0.00105554,0.00105554
13,62.1801,1.96577,2.77624,1.83046,0.33775,0.5302,0.39623,0.14912,2.15104,3.98179,2.27131,0.00103786,0.00103786,0.00103786
14,66.6524,1.98038,2.68057,1.82872,0.78865,0.2875,0.32261,0.1374,2.41054,3.8754,2.50112,0.00102018,0.00102018,0.00102018
15,71.6338,1.95017,2.72677,1.8821,0.84734,0.35,0.35452,0.1606,2.30833,3.66873,2.36558,0.0010025,0.0010025,0.0010025
