epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9711,1.6463,3.78331,1.50044,0.09293,0.24271,0.0289,0.01735,1.96299,4.15769,1.77555,0.00027,0.00027,0.07327
2,19.0615,1.40974,2.42314,1.40139,0.13512,0.49149,0.23364,0.14214,1.47791,3.74666,1.43193,0.000544555,0.000544555,0.0455446
3,25.8766,1.36766,1.93169,1.37769,0.08516,0.7266,0.30055,0.18979,1.29211,3.25563,1.30629,0.000813566,0.000813566,0.0178136
4,33.2155,1.30322,1.61609,1.3378,0.69674,0.43659,0.58168,0.36135,1.27606,2.01691,1.36804,0.0009703,0.0009703,0.0009703
5,40.1881,1.23758,1.45133,1.2814,0.63469,0.64346,0.70009,0.45731,1.10567,1.47168,1.26342,0.0009604,0.0009604,0.0009604
6,46.9425,1.19573,1.29803,1.25206,0.74867,0.68297,0.73418,0.4757,1.15042,1.51827,1.34496,0.0009505,0.0009505,0.0009505
7,53.6986,1.13686,1.20639,1.239,0.81344,0.66883,0.81143,0.52116,1.13435,1.26419,1.26445,0.0009406,0.0009406,0.0009406
8,60.1446,1.13854,1.16486,1.2603,0.88857,0.85437,0.89983,0.64005,1.0559,0.9912,1.20537,0.0009307,0.0009307,0.0009307
9,66.7415,1.1084,1.09467,1.22902,0.86805,0.87834,0.90503,0.67673,0.86006,0.99174,1.11895,0.0009208,0.0009208,0.0009208
10,73.5731,1.09814,1.07236,1.22585,0.85167,0.85936,0.88711,0.61683,0.9789,0.96802,1.1953,0.0009109,0.0009109,0.0009109
11,80.1985,1.06667,1.00103,1.19263,0.76765,0.89234,0.90377,0.6479,0.91157,1.21381,1.13837,0.000901,0.000901,0.000901
12,86.8399,1.04807,0.97726,1.18671,0.90178,0.91812,0.95249,0.71261,0.88104,0.79191,1.12122,0.0008911,0.0008911,0.0008911
13,93.3179,1.04854,0.92467,1.17998,0.85368,0.92952,0.96633,0.71883,0.91142,0.86045,1.11432,0.0008812,0.0008812,0.0008812
