epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.74,2.66456,5.14078,2.48837,0.00011,0.0625,3e-05,1e-05,2.87439,5.2326,2.84053,0.00013,0.00013,0.08713
2,12.181,2.04446,3.93042,1.81491,0.00735,0.05,0.02438,0.00244,2.53619,4.84673,2.5884,0.000269865,0.000269865,0.0732699
3,15.4339,2.03648,3.43284,1.89526,0.31377,0.1625,0.11035,0.06005,2.36352,4.51546,2.36175,0.000409183,0.000409183,0.0594092
4,18.3912,1.97577,2.98932,1.88103,0,0,0,0,2.29463,5.01929,2.44523,0.000547536,0.000547536,0.0455475
5,21.0878,1.85923,2.67951,1.74536,0,0,0,0,2.31673,4.96667,2.4936,0.000684511,0.000684511,0.0316845
6,23.7754,1.9786,2.56576,1.85679,0.05892,0.25,0.03948,0.00843,2.39483,4.69965,2.54919,0.000819699,0.000819699,0.0178197
7,26.2793,1.84076,2.41147,1.75638,0.14659,0.45,0.26794,0.13524,2.16562,4.0135,2.1565,0.000952697,0.000952697,0.0039527
8,29.1281,1.85463,2.406,1.84342,0.98325,0.25,0.32056,0.12979,2.30432,3.43608,2.37291,0.000975773,0.000975773,0.000975773
9,32.1138,1.76674,2.16508,1.75718,0.25953,0.4125,0.3357,0.14164,2.22691,3.01438,2.17043,0.000968436,0.000968436,0.000968436
10,34.7056,1.74428,2.30459,1.7432,0.30746,0.35,0.30834,0.12587,2.35978,3.07432,2.36866,0.000960166,0.000960166,0.000960166
11,37.1925,1.70952,2.25748,1.71361,0.23759,0.28233,0.29832,0.13742,2.28565,3.35538,2.28114,0.00095098,0.00095098,0.00095098
12,39.7031,1.69584,2.00036,1.67719,0.30482,0.4,0.31974,0.14175,2.28208,2.73495,2.27022,0.000940895,0.000940895,0.000940895
13,42.1745,1.62801,1.8745,1.63795,0.90571,0.3,0.32617,0.16614,2.17634,2.96805,2.19797,0.000929932,0.000929932,0.000929932
14,44.9204,1.697,1.95947,1.6987,0.52573,0.3,0.33109,0.17817,2.16331,2.8418,2.17301,0.000918114,0.000918114,0.000918114
15,47.5146,1.59733,1.86582,1.65209,0.98948,0.25,0.30159,0.15279,2.19242,3.05373,2.19033,0.000905463,0.000905463,0.000905463
16,50.0754,1.63225,1.92873,1.67938,0.86012,0.3,0.39605,0.15421,2.36158,2.98981,2.40456,0.000892007,0.000892007,0.000892007
17,52.4517,1.63321,1.78228,1.69888,0.9956,0.25,0.40058,0.18757,2.2828,2.99759,2.21661,0.00087777,0.00087777,0.00087777
18,54.9129,1.61267,1.73788,1.65047,0.65203,0.4,0.41861,0.19136,2.19708,2.63994,2.0733,0.000862783,0.000862783,0.000862783
19,57.4502,1.52026,1.64254,1.58942,0.63616,0.45,0.37808,0.16506,2.21123,2.61631,2.1003,0.000847076,0.000847076,0.000847076
20,60.9629,1.41973,1.53065,1.4982,0.38336,0.5,0.42983,0.20307,2.24138,2.43002,2.22213,0.00083068,0.00083068,0.00083068
21,63.7072,1.45047,1.47502,1.51284,0.36493,0.43407,0.39018,0.17707,2.16037,2.41232,2.0834,0.000813627,0.000813627,0.000813627
22,66.3089,1.41953,1.46335,1.47134,0.3771,0.59096,0.49757,0.21943,2.1981,2.2218,2.12587,0.000795954,0.000795954,0.000795954
23,68.7543,1.42748,1.44032,1.46822,0.49954,0.54519,0.52737,0.20642,2.24049,2.32067,2.11753,0.000777694,0.000777694,0.000777694
24,71.2191,1.33482,1.3861,1.4468,0.81442,0.45,0.50709,0.21296,2.24451,2.13032,2.09181,0.000758885,0.000758885,0.000758885
25,73.9165,1.32324,1.31456,1.46818,0.77862,0.46863,0.48819,0.17175,2.50893,2.19919,2.43748,0.000739565,0.000739565,0.000739565
26,76.5379,1.34293,1.36952,1.44397,0.38452,0.48485,0.41357,0.12638,2.61394,2.39944,2.7198,0.000719772,0.000719772,0.000719772
27,79.0528,1.28972,1.32152,1.41739,0.30729,0.5,0.39786,0.11233,2.64358,2.5046,2.74582,0.000699547,0.000699547,0.000699547
28,81.5378,1.29513,1.28269,1.40224,0.95875,0.3,0.3635,0.14616,2.64239,2.54642,2.77928,0.000678931,0.000678931,0.000678931
29,84.0586,1.2895,1.33683,1.40057,0.33015,0.5125,0.44262,0.16259,2.5881,2.16868,2.65146,0.000657963,0.000657963,0.000657963
30,86.5381,1.27652,1.33321,1.41179,0.35812,0.6125,0.3913,0.15082,2.44114,2.29372,2.49824,0.000636688,0.000636688,0.000636688
31,89.031,1.25813,1.20848,1.3553,0.36361,0.56248,0.43765,0.17951,2.37092,2.034,2.47451,0.000615148,0.000615148,0.000615148
32,91.483,1.16721,1.13746,1.31295,0.49029,0.44377,0.48511,0.16776,2.41312,2.38986,2.54078,0.000593386,0.000593386,0.000593386
33,93.9653,1.19023,1.04544,1.29723,0.46837,0.55576,0.50517,0.19309,2.393,2.2352,2.46646,0.000571445,0.000571445,0.000571445
34,96.5282,1.18557,1.03529,1.30814,0.66997,0.52708,0.62257,0.20164,2.56439,1.80359,2.58677,0.000549371,0.000549371,0.000549371
35,99.0136,1.13159,1.07245,1.30362,0.66884,0.58849,0.6768,0.23232,2.47165,1.73822,2.48671,0.000527208,0.000527208,0.000527208
36,102.282,1.16511,1.09228,1.32698,0.67056,0.58822,0.58678,0.21565,2.40957,2.07835,2.43151,0.000505,0.000505,0.000505
37,106.127,1.00428,0.92356,1.19264,0.45577,0.53195,0.49924,0.18853,2.58875,2.27956,2.67292,0.000482792,0.000482792,0.000482792
38,109.337,1.05535,1.02631,1.23919,0.32366,0.48396,0.4323,0.18011,2.58804,2.34297,2.67595,0.000460629,0.000460629,0.000460629
39,111.549,1.08626,1.08164,1.2811,0.36383,0.48405,0.45076,0.16693,2.5849,2.29684,2.74378,0.000438555,0.000438555,0.000438555
40,113.812,1.02314,0.94934,1.19621,0.36829,0.45,0.39961,0.13963,2.55384,2.38227,2.6543,0.000416614,0.000416614,0.000416614
41,115.973,0.96581,0.87428,1.16017,0.36017,0.49971,0.41823,0.15443,2.62522,2.36733,2.64043,0.000394852,0.000394852,0.000394852
42,118.138,0.96281,0.92151,1.17449,0.32619,0.46235,0.405,0.1253,2.74783,2.5878,2.76561,0.000373312,0.000373312,0.000373312
43,120.273,1.02258,0.93007,1.24614,0.42123,0.4,0.41342,0.14178,2.68468,2.40608,2.7367,0.000352037,0.000352037,0.000352037
44,122.415,0.94131,0.83866,1.14671,0.42929,0.45,0.45342,0.18121,2.42582,2.42329,2.42991,0.000331069,0.000331069,0.000331069
45,124.595,0.94657,0.89432,1.16716,0.39299,0.49256,0.43047,0.18565,2.33134,2.40799,2.27796,0.000310453,0.000310453,0.000310453
46,126.783,0.93604,0.84149,1.13999,0.43307,0.45,0.42254,0.15427,2.39319,2.42716,2.3418,0.000290228,0.000290228,0.000290228
47,128.91,0.90208,0.82034,1.13678,0.45295,0.45,0.43601,0.14539,2.42355,2.4434,2.4223,0.000270435,0.000270435,0.000270435
48,131.097,0.99882,0.89652,1.24851,0.48684,0.44842,0.45656,0.14977,2.4527,2.39805,2.46277,0.000251115,0.000251115,0.000251115
