epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.42543,2.91084,14.1437,2.73211,0.07553,0.1125,0.06134,0.02452,3.37736,34.2268,3.50123,0.0001625,0.0001625,0.0001625
2,9.32495,2.13481,5.1759,2.02317,0.24225,0.25,0.25032,0.08752,2.24494,40.8699,2.00037,0.000332727,0.000332727,0.000332727
3,13.1667,1.902,3.72757,1.82145,0.0027,0.2,0.01069,0.00443,2.46359,20.9834,2.59938,0.000498004,0.000498004,0.000498004
4,17.0607,1.90227,3.17067,1.93874,0.42854,0.1,0.06855,0.04273,2.47345,4.77274,2.61601,0.00065833,0.00065833,0.00065833
5,20.9168,1.84377,2.96856,1.84394,0.4413,0.3375,0.37141,0.1843,2.48046,4.02115,2.56143,0.000813707,0.000813707,0.000813707
6,24.7458,1.88653,2.48785,1.90813,0.32791,0.4,0.30301,0.12952,2.565,8.55671,2.9748,0.000964134,0.000964134,0.000964134
7,28.8251,1.72839,2.09427,1.72803,0.74633,0.2375,0.21997,0.11595,2.78466,3.8371,3.13429,0.00110961,0.00110961,0.00110961
8,32.7009,1.85702,2.05631,1.87514,0.46552,0.125,0.14562,0.0881,2.5006,4.50456,2.70718,0.00112625,0.00112625,0.00112625
9,36.4337,1.72538,1.97367,1.71679,0.37102,0.2375,0.24344,0.09552,2.48958,4.3063,2.6474,0.00110857,0.00110857,0.00110857
10,40.1953,1.67025,2.13612,1.69543,0.91533,0.4,0.42245,0.14006,2.48931,3.02388,2.43363,0.00109089,0.00109089,0.00109089
11,43.92,1.6672,1.96289,1.70546,0.36211,0.3,0.31341,0.1063,2.59261,3.89901,2.50545,0.00107321,0.00107321,0.00107321
12,47.5781,1.65527,1.72401,1.65016,0.15206,0.2375,0.24724,0.1064,2.46949,3.19803,2.36433,0.00105554,0.00105554,0.00105554
13,51.2053,1.52001,1.56044,1.55384,0.49708,0.35825,0.30116,0.10014,2.44176,3.6716,2.2584,0.00103786,0.00103786,0.00103786
14,54.9833,1.57158,1.47837,1.59372,0.56065,0.3875,0.37339,0.13618,2.74601,4.01462,2.85428,0.00102018,0.00102018,0.00102018
15,59.0534,1.52491,1.47583,1.62171,0.87392,0.4,0.46708,0.16408,2.6684,3.46601,2.6455,0.0010025,0.0010025,0.0010025
16,63.1254,1.50213,1.53047,1.56029,0.87491,0.4,0.45829,0.17422,2.39881,3.21845,2.57549,0.000984821,0.000984821,0.000984821
17,66.9333,1.54698,1.36485,1.60232,0.94969,0.43573,0.4581,0.16441,2.41067,5.31271,2.52939,0.000967143,0.000967143,0.000967143
