epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70638,2.58375,5.5987,2.62753,0.00021,0.1875,0.00126,0.00023,2.34692,5.22528,2.68492,0.00026,0.00026,0.07426
2,11.0295,2.01666,3.86317,2.12393,0.04003,0.3875,0.20506,0.12044,1.80405,4.48688,1.90511,0.000524753,0.000524753,0.0475248
3,14.2794,1.9567,3.1797,2.18893,0.07609,0.575,0.25955,0.05731,2.18653,4.32711,2.14244,0.00078416,0.00078416,0.0207842
4,17.5801,1.81859,2.92261,2.0742,0.58982,0.05,0.15254,0.05545,2.16754,3.5773,2.20034,0.0009703,0.0009703,0.0009703
5,21.0396,1.79706,2.75289,2.05252,0.3518,0.3125,0.29596,0.13993,2.24053,3.51452,2.43186,0.0009604,0.0009604,0.0009604
6,24.4543,1.84083,2.63278,2.04462,0.59923,0.29363,0.31782,0.15446,2.55785,3.52421,2.33503,0.0009505,0.0009505,0.0009505
7,27.8882,1.72674,2.5228,1.9399,0.91708,0.1875,0.23684,0.12652,2.52254,3.99556,2.58299,0.0009406,0.0009406,0.0009406
8,31.2486,1.63699,2.37091,1.98049,0.9472,0.25,0.27418,0.13822,2.53938,3.2229,2.4908,0.0009307,0.0009307,0.0009307
9,35.1995,1.59269,2.18201,1.85305,0.74684,0.1875,0.29831,0.15471,2.43225,2.75484,2.35572,0.0009208,0.0009208,0.0009208
10,38.3959,1.64892,2.10374,1.85518,0.18158,0.35,0.27842,0.15152,2.31339,2.86596,2.35466,0.0009109,0.0009109,0.0009109
11,41.59,1.58434,2.12345,1.82197,0.30498,0.4625,0.37646,0.18088,2.37622,2.74311,2.48517,0.000901,0.000901,0.000901
12,44.7614,1.51839,2.01825,1.75312,0.61927,0.3,0.40921,0.20049,2.65007,2.64878,2.66557,0.0008911,0.0008911,0.0008911
13,47.9153,1.53456,1.95667,1.75547,0.99513,0.34781,0.41557,0.18542,2.48027,2.77623,2.64384,0.0008812,0.0008812,0.0008812
14,51.1552,1.4341,1.81777,1.70967,0.31342,0.50162,0.37739,0.15652,2.58149,2.98582,2.72259,0.0008713,0.0008713,0.0008713
15,54.3791,1.42287,1.7738,1.66796,0.2328,0.4,0.41615,0.19118,2.47684,2.6523,2.42126,0.0008614,0.0008614,0.0008614
16,57.6453,1.4063,1.76759,1.70665,0.4836,0.45,0.43393,0.19334,2.41775,2.819,2.53488,0.0008515,0.0008515,0.0008515
17,61.1572,1.42474,1.67445,1.68145,0.39052,0.49401,0.4882,0.25786,2.13032,2.4991,2.18564,0.0008416,0.0008416,0.0008416
18,64.3828,1.35625,1.61242,1.58636,0.38013,0.48154,0.52341,0.25325,2.12683,2.48242,2.30249,0.0008317,0.0008317,0.0008317
19,67.6436,1.3285,1.57699,1.61179,0.54847,0.38788,0.49351,0.22618,2.16165,2.26816,2.50242,0.0008218,0.0008218,0.0008218
20,70.8495,1.28699,1.50081,1.57249,0.46515,0.5,0.48294,0.22784,2.03846,2.27372,2.34856,0.0008119,0.0008119,0.0008119
21,74.0742,1.27587,1.51489,1.542,0.40237,0.48896,0.48948,0.20952,2.20239,2.12694,2.53121,0.000802,0.000802,0.000802
22,77.3638,1.25054,1.43009,1.50772,0.83526,0.49758,0.56058,0.23527,2.40683,2.04001,2.59382,0.0007921,0.0007921,0.0007921
23,80.5061,1.22346,1.38027,1.44777,0.45329,0.5281,0.50599,0.18958,2.54093,2.57654,2.63832,0.0007822,0.0007822,0.0007822
24,83.6522,1.24045,1.36644,1.45821,0.33297,0.49468,0.46853,0.2167,2.31879,2.94495,2.39412,0.0007723,0.0007723,0.0007723
25,86.8777,1.21063,1.38453,1.49453,0.35504,0.6625,0.51281,0.23642,2.24053,2.221,2.49784,0.0007624,0.0007624,0.0007624
26,90.0392,1.14326,1.31305,1.41145,0.47171,0.55,0.51256,0.22243,2.45109,2.20323,2.62109,0.0007525,0.0007525,0.0007525
27,93.2023,1.14101,1.30559,1.39202,0.71524,0.45,0.47479,0.23906,2.39653,2.6765,2.66361,0.0007426,0.0007426,0.0007426
28,96.4671,1.08041,1.18983,1.3943,0.82077,0.35262,0.44978,0.22915,2.2405,2.60932,2.48077,0.0007327,0.0007327,0.0007327
29,99.6378,1.09345,1.28066,1.42157,0.43794,0.54651,0.47155,0.24425,2.31022,2.3606,2.5004,0.0007228,0.0007228,0.0007228
30,102.894,1.09884,1.28532,1.37037,0.45234,0.47986,0.45851,0.19783,2.53786,2.40729,2.74519,0.0007129,0.0007129,0.0007129
31,106.127,1.07501,1.24088,1.34588,0.37327,0.43579,0.43297,0.22406,2.57244,2.05274,2.89492,0.000703,0.000703,0.000703
32,109.364,1.00347,1.215,1.32608,0.57925,0.43679,0.48053,0.23926,2.4862,2.00427,3.03843,0.0006931,0.0006931,0.0006931
33,112.552,1.04521,1.17123,1.33975,0.59819,0.45,0.52499,0.22015,2.49051,1.92982,3.01621,0.0006832,0.0006832,0.0006832
34,115.881,1.01491,1.10008,1.33906,0.72642,0.55,0.5885,0.23839,2.53679,1.77665,2.89421,0.0006733,0.0006733,0.0006733
35,119.015,1.01442,1.10918,1.31173,0.43376,0.5,0.5023,0.2185,2.51756,2.0781,2.66183,0.0006634,0.0006634,0.0006634
36,122.248,0.99182,1.09874,1.28326,0.86035,0.3,0.39913,0.18055,2.28796,2.48818,2.58333,0.0006535,0.0006535,0.0006535
37,125.415,0.93671,1.02555,1.26783,0.6081,0.34662,0.3714,0.19031,2.28119,2.30883,2.75335,0.0006436,0.0006436,0.0006436
38,128.546,0.95885,1.0661,1.30035,0.54537,0.44535,0.47589,0.21943,2.1249,1.96579,2.53501,0.0006337,0.0006337,0.0006337
39,131.784,0.9314,1.05777,1.25263,0.52457,0.48777,0.50948,0.25751,2.44878,1.86437,2.66977,0.0006238,0.0006238,0.0006238
40,135.013,0.91326,0.98968,1.23129,0.46033,0.47156,0.48834,0.22946,2.67368,2.1795,3.04573,0.0006139,0.0006139,0.0006139
41,138.219,0.89525,0.95731,1.21837,0.70658,0.4,0.4399,0.21495,2.75176,2.28081,3.20339,0.000604,0.000604,0.000604
42,141.402,0.93251,1.03065,1.25173,0.3355,0.41695,0.38316,0.18035,2.86177,2.42219,3.35834,0.0005941,0.0005941,0.0005941
43,144.581,0.98207,0.98765,1.2732,0.72053,0.34608,0.42497,0.20325,2.90634,2.2349,3.67342,0.0005842,0.0005842,0.0005842
44,147.723,0.90175,1.0134,1.25683,0.51129,0.33176,0.4141,0.20335,2.79213,2.26951,3.39005,0.0005743,0.0005743,0.0005743
45,150.936,0.81593,0.87845,1.19663,0.32807,0.4375,0.42636,0.20373,2.66301,2.05923,3.0102,0.0005644,0.0005644,0.0005644
46,154.177,0.84214,0.9101,1.21671,0.36066,0.42236,0.40551,0.21859,2.65204,2.03572,3.08513,0.0005545,0.0005545,0.0005545
47,157.532,0.88676,0.89516,1.22244,0.32733,0.5,0.42508,0.2176,2.62925,1.95482,3.02641,0.0005446,0.0005446,0.0005446
48,160.703,0.87257,0.95189,1.21116,0.3098,0.45351,0.3274,0.15724,2.75747,2.36986,2.99611,0.0005347,0.0005347,0.0005347
49,163.866,0.85293,0.86548,1.19814,0.22673,0.27135,0.36747,0.18817,2.71719,2.73239,3.14331,0.0005248,0.0005248,0.0005248
50,167.153,0.81036,0.84205,1.17421,0.2458,0.3,0.38028,0.1721,2.56024,2.464,3.00773,0.0005149,0.0005149,0.0005149
51,170.362,0.77664,0.83661,1.15162,0.58857,0.37768,0.37874,0.18376,2.4502,2.59954,2.85051,0.000505,0.000505,0.000505
52,173.548,0.73501,0.75661,1.1174,0.68872,0.55,0.46275,0.21662,2.36434,2.14563,2.92603,0.0004951,0.0004951,0.0004951
53,176.736,0.7849,0.83198,1.14972,0.4299,0.5,0.45346,0.20545,2.40682,1.93686,3.0211,0.0004852,0.0004852,0.0004852
54,179.998,0.81196,0.88446,1.1894,0.46389,0.49913,0.45985,0.20659,2.51568,1.89007,3.16726,0.0004753,0.0004753,0.0004753
55,183.272,0.76762,0.81643,1.12994,0.38212,0.45,0.44437,0.18416,2.51695,1.92688,3.12003,0.0004654,0.0004654,0.0004654
56,186.497,0.75003,0.81923,1.09456,0.43629,0.48798,0.50378,0.20331,2.50626,1.93488,2.97296,0.0004555,0.0004555,0.0004555
57,189.881,0.7249,0.80614,1.10169,0.28694,0.41383,0.4243,0.1929,2.65972,1.95627,3.26919,0.0004456,0.0004456,0.0004456
58,193.073,0.71074,0.72446,1.09754,0.39068,0.4494,0.42619,0.17402,2.72906,2.03578,3.39203,0.0004357,0.0004357,0.0004357
59,196.199,0.71248,0.77134,1.09859,0.32638,0.42733,0.44648,0.20937,2.6523,2.08748,3.34,0.0004258,0.0004258,0.0004258
60,199.41,0.70841,0.74357,1.09991,0.32966,0.36309,0.44664,0.19229,2.68784,1.95117,3.51453,0.0004159,0.0004159,0.0004159
61,202.735,0.71661,0.77607,1.11956,0.34156,0.45,0.4252,0.19231,2.69875,1.94742,3.34263,0.000406,0.000406,0.000406
62,206.295,0.72969,0.7525,1.12574,0.37322,0.55105,0.42519,0.18649,2.72942,1.8174,3.51313,0.0003961,0.0003961,0.0003961
63,209.68,0.71896,0.73364,1.11921,0.32856,0.51758,0.4269,0.19469,2.68323,1.74403,3.45113,0.0003862,0.0003862,0.0003862
64,213.011,0.68186,0.72475,1.07716,0.44313,0.49421,0.47694,0.20207,2.58855,1.75435,3.26643,0.0003763,0.0003763,0.0003763
65,216.401,0.71344,0.80688,1.09825,0.78086,0.48887,0.53657,0.22183,2.5562,1.80298,3.15578,0.0003664,0.0003664,0.0003664
66,219.863,0.6894,0.75799,1.07204,0.81983,0.492,0.51978,0.21255,2.56717,1.78041,3.09881,0.0003565,0.0003565,0.0003565
67,223.343,0.67799,0.70258,1.06726,0.5593,0.55,0.50427,0.20701,2.48757,1.88737,2.78253,0.0003466,0.0003466,0.0003466
68,226.949,0.69064,0.70834,1.07458,0.50432,0.54074,0.5069,0.21522,2.41734,1.80748,2.71008,0.0003367,0.0003367,0.0003367
69,230.33,0.69702,0.69836,1.07824,0.53759,0.3875,0.49155,0.23924,2.41019,1.83024,2.87867,0.0003268,0.0003268,0.0003268
70,233.721,0.67225,0.70886,1.08108,0.3429,0.5055,0.46569,0.21512,2.28326,1.8724,2.75421,0.0003169,0.0003169,0.0003169
71,237.406,0.64272,0.73694,1.06432,0.60646,0.44522,0.52361,0.21676,2.28785,1.6927,2.85346,0.000307,0.000307,0.000307
72,240.87,0.60357,0.64508,1.03998,0.59195,0.48966,0.5135,0.21136,2.23286,1.74402,2.63889,0.0002971,0.0002971,0.0002971
73,244.324,0.62815,0.65771,1.05309,0.49361,0.45,0.51627,0.22647,2.15271,1.67891,2.55419,0.0002872,0.0002872,0.0002872
74,247.751,0.62638,0.65222,1.03371,0.42816,0.44221,0.44775,0.22057,1.97757,1.5582,2.38334,0.0002773,0.0002773,0.0002773
75,251.058,0.6542,0.68553,1.06108,0.46843,0.52946,0.5091,0.2225,1.9546,1.65974,2.44964,0.0002674,0.0002674,0.0002674
76,254.355,0.61359,0.63646,1.02976,0.43544,0.5125,0.49803,0.21755,1.97571,1.64674,2.55862,0.0002575,0.0002575,0.0002575
77,257.86,0.61583,0.65807,1.03483,0.54775,0.4418,0.50839,0.22273,2.02019,1.75933,2.49033,0.0002476,0.0002476,0.0002476
78,261.881,0.59567,0.63352,1.02645,0.51855,0.48785,0.46189,0.20038,2.14873,1.84507,2.47389,0.0002377,0.0002377,0.0002377
79,266.133,0.60689,0.69072,1.03115,0.4783,0.5,0.47205,0.20058,2.29476,1.8437,2.64646,0.0002278,0.0002278,0.0002278
80,269.834,0.62957,0.7081,1.04668,0.77126,0.54345,0.47332,0.17686,2.34429,1.76585,2.77879,0.0002179,0.0002179,0.0002179
81,273.357,0.59723,0.66506,1.02695,0.44763,0.47849,0.45295,0.22293,2.18661,1.75859,2.74101,0.000208,0.000208,0.000208
82,277.178,0.56998,0.6107,1.00637,0.40448,0.55,0.51046,0.22251,2.18023,1.88231,2.68582,0.0001981,0.0001981,0.0001981
83,280.548,0.50833,0.5927,0.96374,0.39779,0.4875,0.44681,0.20996,2.23485,1.9074,2.67918,0.0001882,0.0001882,0.0001882
84,283.83,0.55798,0.60601,0.99574,0.45331,0.55,0.51749,0.23527,2.20739,1.83907,2.65288,0.0001783,0.0001783,0.0001783
85,287.32,0.59318,0.63412,1.02929,0.4552,0.5,0.46603,0.22853,2.13665,1.7246,2.61129,0.0001684,0.0001684,0.0001684
86,290.859,0.53925,0.59447,0.9987,0.50531,0.55,0.52842,0.22729,2.10951,1.67194,2.60325,0.0001585,0.0001585,0.0001585
87,294.219,0.57492,0.61802,1.0218,0.47208,0.57787,0.51043,0.21761,2.16108,1.61682,2.6652,0.0001486,0.0001486,0.0001486
88,297.511,0.51418,0.56771,0.99951,0.49115,0.58977,0.51018,0.21899,2.1344,1.61389,2.63721,0.0001387,0.0001387,0.0001387
89,301.007,0.48094,0.5388,0.97635,0.4926,0.58564,0.52924,0.23215,2.14532,1.63955,2.67568,0.0001288,0.0001288,0.0001288
90,304.309,0.58557,0.64079,1.01516,0.49022,0.58146,0.52108,0.23367,2.20234,1.66634,2.70489,0.0001189,0.0001189,0.0001189
91,338.561,0.36265,0.41799,0.88455,0.53709,0.55,0.57577,0.23119,2.2375,1.70454,2.71322,0.000109,0.000109,0.000109
92,341.86,0.33611,0.35953,0.8633,0.54751,0.54869,0.55882,0.2277,2.31646,1.81821,2.80663,9.91e-05,9.91e-05,9.91e-05
93,345.399,0.34257,0.36822,0.86313,0.45157,0.50854,0.47693,0.21995,2.31854,1.82517,2.81438,8.92e-05,8.92e-05,8.92e-05
94,348.564,0.3261,0.36396,0.84013,0.50366,0.56864,0.54152,0.22614,2.28798,1.87146,2.77364,7.93e-05,7.93e-05,7.93e-05
95,351.813,0.33966,0.3742,0.87112,0.45464,0.49897,0.50914,0.23337,2.33827,1.92237,2.78532,6.94e-05,6.94e-05,6.94e-05
96,355.104,0.34911,0.37634,0.85997,0.43211,0.51781,0.52448,0.23372,2.40783,1.97718,2.84058,5.95e-05,5.95e-05,5.95e-05
97,358.656,0.32146,0.35892,0.85356,0.4417,0.52619,0.51648,0.22619,2.38546,1.93627,2.84836,4.96e-05,4.96e-05,4.96e-05
98,361.837,0.30068,0.33586,0.85899,0.46004,0.53179,0.51648,0.21983,2.37437,1.91255,2.84558,3.97e-05,3.97e-05,3.97e-05
99,365.02,0.3005,0.33916,0.83999,0.46459,0.53511,0.51648,0.21952,2.32556,1.89163,2.81232,2.98e-05,2.98e-05,2.98e-05
100,368.216,0.30974,0.3659,0.85012,0.46648,0.53664,0.51648,0.22859,2.30931,1.87931,2.80664,1.99e-05,1.99e-05,1.99e-05
